team,player,position,age,contract_value,contract_length,transfer_fee
AFC Bournemouth,Jermain Defoe,F,37,16140000,3 yr,-
AFC Bournemouth,Asmir Begovic,GK,32,14560000,4 yr,9780000
AFC Bournemouth,Jefferson Lerma,M,25,13000000,5 yr,25125000
AFC Bournemouth,Callum Wilson,F,27,12480000,4 yr,3000000
AFC Bournemouth,Joshua King,F,28,11700000,5 yr,-
AFC Bournemouth,Nathan Ake,D,25,10400000,5 yr,19380000
AFC Bournemouth,Steve Cook,D,28,9360000,4 yr,150000
AFC Bournemouth,Andrew Surman,M,33,9100000,5 yr,536000
AFC Bournemouth,Harry Arter,M,30,8320000,4 yr,-
AFC Bournemouth,Jordon Ibe,F,24,7904000,4 yr,15000000
AFC Bournemouth,Lewis Cook,M,23,7280000,4 yr,5950000
AFC Bournemouth,Dan Gosling,M,30,7280000,4 yr,-
AFC Bournemouth,Adam Smith,D,28,7280000,4 yr,-
AFC Bournemouth,Ryan Fraser,F,25,5616000,4 yr,400000
AFC Bournemouth,Charlie Daniels,D,33,5460000,3 yr,191000
AFC Bournemouth,Junior Stanislas,F,30,5460000,3 yr,-
AFC Bournemouth,Brad Smith,D,25,5200000,4 yr,3060000
AFC Bournemouth,David Brooks,M,22,4160000,4 yr,10125000
AFC Bournemouth,Diego Rico,D,26,4004000,4 yr,10750000
AFC Bournemouth,Dominic Solanke,F,22,3900000,3 yr,24170000
AFC Bournemouth,Philip Billing,M,23,3900000,5 yr,18810000
AFC Bournemouth,Simon Francis,D,35,3120000,2 yr,-
AFC Bournemouth,Chris Mepham,D,22,3035000,5 yr,15500000
AFC Bournemouth,Artur Boruc,GK,40,2080000,1 yr,10000000
AFC Bournemouth,Aaron Ramsdale,GK,21,780000,5 yr,799000
AFC Bournemouth,Jack Simpson,D,23,468000,3 yr,-
AFC Bournemouth,Sam Surridge,F,22,0,5 yr,-
AFC Bournemouth,Lloyd Kelly,D,21,0,3 yr,16870000
AFC Bournemouth,Jack Stacey,D,23,0,-,5070000
AFC Bournemouth,Mark Travers,GK,20,0,-,-
AFC Bournemouth,Arnaut Danjuma,F,23,0,5 yr,20520000
