"","player","games","starts","goals","assists","shots_on_goal","shots","yellow","red","season","team","position","age","contract_value","contract_length","transfer_fee"
"740","Jermain Defoe",4,0,0,0,0,0,0,0,2019,"AFC Bournemouth","F",37,20820600,3,NA
"737","Asmir Begovic",24,24,0,0,0,0,0,0,2019,"AFC Bournemouth","GK",32,18782400,4,12616200
"228","Jefferson Lerma",22,20,0,1,1,16,9,0,2020,"AFC Bournemouth","M",25,16770000,5,32411250
"609","Jefferson Lerma",30,29,2,0,8,31,12,0,2019,"AFC Bournemouth","M",25,16770000,5,32411250
"21","Callum Wilson",25,23,7,0,14,29,7,0,2020,"AFC Bournemouth","F",27,16099200,4,3870000
"465","Callum Wilson",30,29,14,9,29,69,3,0,2019,"AFC Bournemouth","F",27,16099200,4,3870000
"58","Joshua King",17,15,3,2,8,14,0,0,2020,"AFC Bournemouth","F",28,15093000,5,NA
"472","Joshua King",35,34,12,3,24,69,3,0,2019,"AFC Bournemouth","F",28,15093000,5,NA
"83","Nathan Ake",21,21,2,1,6,13,1,0,2020,"AFC Bournemouth","D",25,13416000,5,25000200
"527","Nathan Ake",38,38,4,0,7,22,3,0,2019,"AFC Bournemouth","D",25,13416000,5,25000200
"135","Steve Cook",19,19,1,0,1,7,3,1,2020,"AFC Bournemouth","D",28,12074400,4,193500
"622","Steve Cook",31,31,1,0,9,21,3,0,2019,"AFC Bournemouth","D",28,12074400,4,193500
"323","Andrew Surman",4,1,0,0,0,0,1,0,2020,"AFC Bournemouth","M",33,11739000,5,691440
"745","Andrew Surman",18,16,0,0,1,9,2,0,2019,"AFC Bournemouth","M",33,11739000,5,691440
"736","Harry Arter",25,24,0,1,4,22,10,0,2019,"AFC Bournemouth","M",30,10732800,4,NA
"342","Jordon Ibe",2,0,0,0,0,0,0,0,2020,"AFC Bournemouth","F",24,10196160,4,19350000
"624","Jordon Ibe",19,9,1,1,3,9,1,0,2019,"AFC Bournemouth","F",24,10196160,4,19350000
"267","Lewis Cook",18,9,0,0,0,4,3,0,2020,"AFC Bournemouth","M",23,9391200,4,7675500
"739","Lewis Cook",13,8,0,0,0,4,2,0,2019,"AFC Bournemouth","M",23,9391200,4,7675500
"123","Dan Gosling",13,9,2,1,2,6,1,0,2020,"AFC Bournemouth","M",30,9391200,4,NA
"583","Dan Gosling",25,19,2,1,8,21,8,0,2019,"AFC Bournemouth","M",30,9391200,4,NA
"227","Adam Smith",15,15,0,1,1,3,4,0,2020,"AFC Bournemouth","D",28,9391200,4,NA
"626","Adam Smith",25,25,1,1,1,9,5,1,2019,"AFC Bournemouth","D",28,9391200,4,NA
"137","Ryan Fraser",25,19,1,3,14,24,2,0,2020,"AFC Bournemouth","F",25,7244640,4,516000
"490","Ryan Fraser",38,35,7,14,27,50,2,0,2019,"AFC Bournemouth","F",25,7244640,4,516000
"322","Charlie Daniels",2,2,0,0,0,0,0,0,2020,"AFC Bournemouth","D",33,7043400,3,246390
"623","Charlie Daniels",21,17,1,0,3,12,4,0,2019,"AFC Bournemouth","D",33,7043400,3,246390
"427","Junior Stanislas",3,1,0,0,1,1,0,0,2020,"AFC Bournemouth","F",30,7043400,3,NA
"584","Junior Stanislas",23,11,2,3,9,32,1,0,2019,"AFC Bournemouth","F",30,7043400,3,NA
"499","David Brooks",30,29,7,5,23,42,3,0,2019,"AFC Bournemouth","M",22,5366400,4,13061250
"229","Diego Rico",21,21,0,2,4,7,6,0,2020,"AFC Bournemouth","D",27,5165160,4,13867500
"895","Diego Rico",12,5,0,0,0,9,1,0,2019,"AFC Bournemouth","D",27,5165160,4,13867500
"274","Dominic Solanke",22,12,0,1,5,15,1,0,2020,"AFC Bournemouth","F",22,5031000,3,31179300
"793","Dominic Solanke",10,2,0,1,3,10,0,0,2019,"AFC Bournemouth","F",22,5031000,3,31179300
"136","Philip Billing",24,22,1,1,3,20,7,0,2020,"AFC Bournemouth","M",23,5031000,5,24264900
"577","Philip Billing",27,25,2,0,9,40,7,0,2019,"AFC Bournemouth","M",23,5031000,5,24264900
"386","Simon Francis",14,9,0,0,0,2,2,0,2020,"AFC Bournemouth","D",35,4024800,2,NA
"741","Simon Francis",17,13,0,2,1,3,1,0,2019,"AFC Bournemouth","D",35,4024800,2,NA
"134","Chris Mepham",11,10,1,0,2,5,1,0,2020,"AFC Bournemouth","D",22,3915150,5,19995000
"922","Chris Mepham",13,10,0,1,0,2,1,0,2019,"AFC Bournemouth","D",22,3915150,5,19995000
"738","Artur Boruc",12,12,0,0,0,0,2,0,2019,"AFC Bournemouth","GK",40,2683200,1,12900000
"226","Aaron Ramsdale",25,25,0,0,0,0,0,0,2020,"AFC Bournemouth","GK",21,1006200,5,1030710
"528","Aaron Ramsey",28,14,4,6,14,35,0,0,2019,"AFC Bournemouth","GK",21,1006200,5,1030710
"419","Jack Simpson",3,1,0,0,0,0,0,0,2020,"AFC Bournemouth","D",23,603720,3,NA
"744","Jack Simpson",6,4,0,0,1,2,0,0,2019,"AFC Bournemouth","D",23,603720,3,NA
"434","Sam Surridge",1,0,0,0,0,0,0,0,2020,"AFC Bournemouth","F",22,0,5,NA
"932","Sam Surridge",2,0,0,0,1,1,0,0,2019,"AFC Bournemouth","F",22,0,5,NA
"366","Jack Stacey",9,9,0,1,1,4,2,0,2020,"AFC Bournemouth","D",23,0,NA,6540300
"433","Mark Travers",1,1,0,0,0,0,0,0,2020,"AFC Bournemouth","GK",20,0,NA,NA
"937","Mark Travers",2,2,0,0,0,0,0,0,2019,"AFC Bournemouth","GK",20,0,NA,NA
"384","Arnaut Danjuma",9,4,0,0,4,7,0,0,2020,"AFC Bournemouth","F",23,0,5,26470800
"195","Mesut Ozil",16,16,1,1,3,7,1,0,2020,"Arsenal","M",31,72111000,4,54825000
"512","Mesut Ozil",24,20,5,2,7,11,2,0,2019,"Arsenal","M",31,72111000,4,54825000
"32","Alexandre Lacazette",19,15,6,4,15,34,5,0,2020,"Arsenal","F",28,61060040.85,5,58114500
"467","Alexandre Lacazette",35,27,13,8,32,83,2,0,2019,"Arsenal","F",28,61060040.85,5,58114500
"50","Nicolas Pepe",22,15,4,4,14,38,3,0,2020,"Arsenal","F",24,46956000,5,117648000
"4","Pierre-Emerick Aubameyang",24,24,15,1,29,59,3,1,2020,"Arsenal","F",30,42260400,4,74020200
"457","Pierre-Emerick Aubameyang",36,30,22,4,39,94,0,0,2019,"Arsenal","F",30,42260400,4,74020200
"297","Henrikh Mkhitaryan",3,1,0,0,0,2,1,0,2020,"Arsenal","M",31,40248000,4,46053000
"500","Henrikh Mkhitaryan",25,19,6,4,15,50,1,0,2019,"Arsenal","M",31,40248000,4,46053000
"204","Hector Bellerin",6,6,1,0,1,3,2,0,2020,"Arsenal","D",24,36894000,5,NA
"746","Hector Bellerin",19,18,0,5,4,18,3,0,2019,"Arsenal","D",24,36894000,5,NA
"299","Granit Xhaka",20,20,0,1,2,10,7,0,2020,"Arsenal","M",27,33540000,5,46440000
"529","Granit Xhaka",29,29,4,2,13,30,10,0,2019,"Arsenal","M",27,33540000,5,46440000
"292","Bernd Leno",26,26,0,0,0,0,2,0,2020,"Arsenal","GK",27,33540000,5,24768000
"862","Bernd Leno",32,31,0,0,0,0,0,0,2019,"Arsenal","GK",27,33540000,5,24768000
"413","Shkodran Mustafi",7,5,0,0,2,4,0,0,2020,"Arsenal","D",27,30186000,5,46182000
"586","Shkodran Mustafi",31,31,2,0,10,18,9,0,2019,"Arsenal","D",27,30186000,5,46182000
"317","Sead Kolasinac",16,12,0,2,0,3,3,0,2020,"Arsenal","D",26,26832000,4,NA
"750","Sead Kolasinac",24,22,0,5,2,9,5,0,2019,"Arsenal","D",26,26832000,4,NA
"176","Lucas Torreira",23,15,1,1,6,14,4,0,2020,"Arsenal","M",24,25155000,5,33540000
"605","Lucas Torreira",34,24,2,2,6,26,7,1,2019,"Arsenal","M",24,25155000,5,33540000
"108","David Luiz",23,23,2,0,6,16,4,1,2020,"Arsenal","D",32,16860300,2,12796800
"555","David Luiz",36,36,3,2,8,33,3,0,2019,"Arsenal","D",32,16860300,2,12796800
"748","Mohamed Elneny",8,5,0,0,0,7,0,0,2019,"Arsenal","M",27,13416000,4,13712700
"168","Calum Chambers",14,13,1,1,2,10,5,0,2020,"Arsenal","D",25,13416000,4,22833000
"585","Calum Chambers",31,29,2,0,12,32,9,0,2019,"Arsenal","D",25,13416000,4,22833000
"301","Matteo Guendouzi",21,17,0,1,5,11,6,0,2020,"Arsenal","M",20,13416000,5,9030000
"885","Matteo Guendouzi",33,23,0,0,4,17,9,0,2019,"Arsenal","M",20,13416000,5,9030000
"293","Ainsley Maitland-Niles",14,14,0,2,0,4,3,0,2020,"Arsenal","M",NA,11739000,5,NA
"627","Ainsley Maitland-Niles",16,11,1,1,3,5,1,0,2019,"Arsenal","M",NA,11739000,5,NA
"751","Konstantinos Mavropanos",4,3,0,0,0,2,1,0,2019,"Arsenal","D",22,9223500,6,2438100
"406","Rob Holding",2,1,0,0,0,0,0,0,2020,"Arsenal","D",24,8385000,5,3354000
"749","Rob Holding",10,9,0,0,0,2,1,0,2019,"Arsenal","D",24,8385000,5,3354000
"304","Dani Ceballos",12,8,0,2,3,7,0,0,2020,"Arsenal","M",23,3483000,1,NA
"68","Gabriel Martinelli",14,6,3,0,7,14,1,0,2020,"Arsenal","F",18,0,5,9855600
"400","Kieran Tierney",5,4,0,0,0,2,1,0,2020,"Arsenal","D",22,0,5,39706200
"357","Henri Lansbury",9,2,0,0,1,2,0,0,2020,"Aston Villa","M",29,10732800,4,5005200
"63","John McGinn",18,18,3,3,10,30,2,0,2020,"Aston Villa","M",25,8385000,5,NA
"48","Anwar El Ghazi",23,20,4,4,15,37,3,0,2020,"Aston Villa","F",24,8307600,4,13235400
"96","Tyrone Mings",21,21,2,1,2,4,5,0,2020,"Aston Villa","D",26,5031000,3,32791800
"743","Tyrone Mings",5,2,0,0,0,0,0,0,2019,"Aston Villa","D",26,5031000,3,32791800
"408","Orjan Nyland",3,1,0,0,0,0,0,0,2020,"Aston Villa","GK",29,4024800,3,4411800
"281","Ahmed Elmohamady",11,7,0,1,0,1,0,0,2020,"Aston Villa","M",32,3354000,2,1206150
"280","Tom Heaton",20,20,0,0,0,0,0,0,2020,"Aston Villa","GK",33,2817360,1,12938700
"712","Tom Heaton",19,19,0,0,0,1,3,0,2019,"Aston Villa","GK",33,2817360,1,12938700
"197","Matt Targett",18,18,1,2,6,9,3,0,2020,"Aston Villa","D",24,2347800,1,22794300
"687","Matt Targett",16,13,1,3,3,11,2,0,2019,"Aston Villa","D",24,2347800,1,22794300
"24","Jack Grealish",24,24,7,6,22,54,6,0,2020,"Aston Villa","M",24,2347800,5,NA
"407","Jed Steer",1,1,0,0,0,0,0,0,2020,"Aston Villa","GK",27,2146560,4,612750
"282","Neil Taylor",10,8,0,0,1,2,2,0,2020,"Aston Villa","D",31,2146560,4,NA
"328","Keinan Davis",7,0,0,0,3,5,0,0,2020,"Aston Villa","F",22,1006200,3,NA
"423","Kortney Hause",10,10,0,0,0,5,2,0,2020,"Aston Villa","D",24,536640,1,5005200
"391","Ezri Konsa",14,13,0,2,1,4,0,0,2020,"Aston Villa","D",22,536640,1,19556400
"949","Douglas Luiz",24,16,3,2,11,31,4,0,2020,"Aston Villa","M",21,0,4,24703500
"162","Bjorn Engels",16,14,1,0,1,3,1,0,2020,"Aston Villa","D",25,0,NA,NA
"367","Marvelous Nakamba",19,16,0,0,2,11,4,0,2020,"Aston Villa","M",26,0,5,17647200
"62","Conor Hourihane",16,10,3,1,6,8,3,0,2020,"Aston Villa","M",29,0,NA,NA
"334","Frederic Guilbert",21,19,0,2,2,5,6,0,2020,"Aston Villa","D",25,0,4,7353000
"205","Mbwana Samatta",2,2,1,0,2,4,0,0,2020,"Aston Villa","F",27,0,5,14899500
"453","Borja Baston",1,0,0,0,0,0,0,0,2020,"Aston Villa","F",27,0,1,NA
"124","Alireza Jahanbakhsh",6,3,2,0,2,8,0,0,2020,"Brighton & Hove Albion","F",26,16770000,5,22059000
"894","Alireza Jahanbakhsh",19,12,0,0,7,22,2,0,2019,"Brighton & Hove Albion","F",26,16770000,5,22059000
"90","Lewis Dunk",24,24,2,3,7,15,8,0,2020,"Brighton & Hove Albion","D",28,15093000,5,NA
"580","Lewis Dunk",36,36,2,1,4,21,5,0,2019,"Brighton & Hove Albion","D",28,15093000,5,NA
"266","Jurgen Locadia",2,1,0,0,1,2,0,0,2020,"Brighton & Hove Albion","F",26,13583700,5,19737000
"582","Jurgen Locadia",26,12,2,0,10,27,1,0,2019,"Brighton & Hove Albion","F",26,13583700,5,19737000
"153","Shane Duffy",14,10,1,0,2,5,1,0,2020,"Brighton & Hove Albion","D",28,13416000,5,5753400
"511","Shane Duffy",35,35,5,1,16,37,4,1,2019,"Brighton & Hove Albion","D",28,13416000,5,5753400
"91","Pascal Gross",23,18,2,4,8,22,2,0,2020,"Brighton & Hove Albion","M",28,13416000,4,3289500
"550","Pascal Gross",25,24,3,3,9,22,1,0,2019,"Brighton & Hove Albion","M",28,13416000,4,3289500
"156","Florin Andone",3,1,1,0,1,1,0,1,2020,"Brighton & Hove Albion","F",26,13416000,5,6772500
"573","Florin Andone",23,8,3,0,8,19,5,0,2019,"Brighton & Hove Albion","F",26,13416000,5,6772500
"263","Martin Montoya",21,19,0,1,2,7,3,0,2020,"Brighton & Hove Albion","D",28,13416000,4,8062500
"903","Martin Montoya",25,24,0,1,2,7,4,0,2019,"Brighton & Hove Albion","D",28,13416000,4,8062500
"154","Davy Propper",23,23,1,2,4,18,3,0,2020,"Brighton & Hove Albion","M",28,12074400,4,15093000
"620","Davy Propper",30,30,1,1,2,12,2,0,2019,"Brighton & Hove Albion","M",28,12074400,4,15093000
"734","Jose Izquierdo",15,9,0,0,3,14,1,0,2019,"Brighton & Hove Albion","F",27,12074400,4,17737500
"581","Anthony Knockaert",30,18,2,6,11,29,4,1,2019,"Brighton & Hove Albion","M",28,11739000,5,3844200
"261","Mathew Ryan",26,26,0,0,0,0,0,0,2020,"Brighton & Hove Albion","GK",27,11739000,5,6579000
"735","Mathew Ryan",34,34,0,0,0,0,2,0,2019,"Brighton & Hove Albion","GK",27,11739000,5,6579000
"377","Yves Bissouma",10,5,0,0,3,7,1,0,2020,"Brighton & Hove Albion","M",23,8385000,5,19620900
"884","Yves Bissouma",28,17,0,0,3,30,5,0,2019,"Brighton & Hove Albion","M",23,8385000,5,19620900
"264","Dale Stephens",23,22,0,1,2,16,6,0,2020,"Brighton & Hove Albion","M",30,8049600,4,NA
"621","Dale Stephens",30,29,1,1,1,13,6,1,2019,"Brighton & Hove Albion","M",30,8049600,4,NA
"265","Solly March",11,7,0,1,5,11,2,0,2020,"Brighton & Hove Albion","M",25,8049600,4,5160
"619","Solly March",35,30,1,5,10,43,1,0,2019,"Brighton & Hove Albion","M",25,8049600,4,5160
"883","David Button",4,4,0,0,0,0,0,0,2019,"Brighton & Hove Albion","GK",30,3225000,3,NA
"678","Leon Balogun",8,5,1,0,1,2,2,0,2019,"Brighton & Hove Albion","D",31,2451000,2,NA
"618","Beram Kayal",18,9,1,1,2,5,4,0,2019,"Brighton & Hove Albion","M",31,1677000,1,NA
"364","Gaetan Bong",4,0,0,0,0,0,0,0,2020,"Brighton & Hove Albion","D",31,1354500,1,NA
"733","Gaetan Bong",22,19,0,0,0,2,0,0,2019,"Brighton & Hove Albion","D",31,1354500,1,NA
"112","Aaron Mooy",19,17,2,1,6,26,0,0,2020,"Brighton & Hove Albion","M",29,0,4,8514000
"549","Aaron Mooy",29,25,3,1,13,42,4,0,2019,"Brighton & Hove Albion","M",29,0,4,8514000
"376","Steven Alzate",18,12,0,0,2,10,1,0,2020,"Brighton & Hove Albion","F",21,0,2,NA
"262","Dan Burn",22,22,0,0,0,7,3,0,2020,"Brighton & Hove Albion","D",27,0,4,NA
"73","Leandro Trossard",20,14,3,3,9,24,0,0,2020,"Brighton & Hove Albion","F",25,0,4,29412000
"23","Neal Maupay",25,20,7,2,23,64,3,0,2020,"Brighton & Hove Albion","F",23,0,NA,29412000
"76","Adam Webster",20,20,3,0,8,11,3,0,2020,"Brighton & Hove Albion","D",25,0,4,32133900
"428","Tariq Lamptey",1,0,0,0,0,0,0,0,2020,"Brighton & Hove Albion","D",19,0,4,4682700
"141","James Tarkowski",26,26,1,1,4,12,6,0,2020,"Burnley","D",27,13416000,4,4386000
"546","James Tarkowski",35,35,3,1,9,18,8,0,2019,"Burnley","D",27,13416000,4,4386000
"237","Ben Mee",26,26,0,1,4,9,5,0,2020,"Burnley","D",30,11068200,3,NA
"913","Ben Mee",38,38,0,2,4,22,9,0,2019,"Burnley","D",30,11068200,3,NA
"707","Ben Gibson",1,1,1,0,1,1,1,0,2019,"Burnley","D",27,10732800,4,19608000
"235","Nick Pope",26,26,0,0,0,1,0,0,2020,"Burnley","GK",27,9391200,4,1457700
"196","Robbie Brady",13,5,1,2,2,5,1,0,2020,"Burnley","M",28,9391200,4,16563600
"710","Robbie Brady",16,6,0,1,2,13,3,1,2019,"Burnley","M",28,9391200,4,16563600
"194","Matej Vydra",7,0,1,1,3,5,0,0,2020,"Burnley","F",27,9391200,4,14190000
"699","Matej Vydra",13,3,1,1,2,5,1,0,2019,"Burnley","F",27,9391200,4,14190000
"85","Ashley Westwood",23,23,2,5,2,8,8,0,2020,"Burnley","M",29,8317920,4,6359700
"576","Ashley Westwood",34,31,2,7,7,24,5,0,2019,"Burnley","M",29,8317920,4,6359700
"239","Jack Cork",24,24,0,0,2,7,0,0,2020,"Burnley","M",30,7647120,3,12900000
"612","Jack Cork",37,37,1,2,2,18,6,0,2019,"Burnley","M",30,7647120,3,12900000
"273","Aaron Lennon",14,4,0,0,0,0,3,0,2020,"Burnley","F",32,7043400,3,NA
"613","Aaron Lennon",16,14,1,1,2,4,1,0,2019,"Burnley","F",32,7043400,3,NA
"389","Charlie Taylor",14,12,0,0,0,2,2,0,2020,"Burnley","D",26,6708000,4,NA
"716","Charlie Taylor",38,35,0,1,0,6,2,0,2019,"Burnley","D",26,6708000,4,NA
"711","Steven Defour",6,6,0,0,0,0,0,0,2019,"Burnley","M",31,6037200,2,9429900
"142","Johann Gudmundsson",7,4,1,0,2,5,0,0,2020,"Burnley","M",29,6037200,3,3289500
"543","Johann Gudmundsson",29,19,3,6,9,32,2,0,2019,"Burnley","M",29,6037200,3,3289500
"833","Joe Hart",19,19,0,0,0,0,0,0,2019,"Burnley","GK",32,6037200,2,4515000
"236","Matthew Lowton",15,15,0,1,0,1,2,0,2020,"Burnley","D",30,5031000,3,NA
"714","Matthew Lowton",21,19,0,0,0,3,7,0,2019,"Burnley","D",30,5031000,3,NA
"426","Kevin Long",1,0,0,0,0,0,0,0,2020,"Burnley","D",29,3085680,2,384420
"713","Kevin Long",6,5,0,1,0,1,0,0,2019,"Burnley","D",29,3085680,2,384420
"117","Jeff Hendrick",21,19,2,2,7,15,6,0,2020,"Burnley","M",28,2347800,1,12938700
"544","Jeff Hendrick",32,25,3,0,5,19,4,0,2019,"Burnley","M",28,2347800,1,12938700
"405","Phil Bardsley",11,11,0,0,1,3,2,0,2020,"Burnley","D",34,1677000,1,2580000
"709","Phil Bardsley",19,19,0,0,1,12,9,0,2019,"Burnley","D",34,1677000,1,2580000
"29","Ashley Barnes",19,17,6,0,13,32,4,0,2020,"Burnley","F",30,0,4,NA
"471","Ashley Barnes",37,26,12,2,30,64,8,0,2019,"Burnley","F",30,0,4,NA
"47","Jay Rodriguez",25,9,4,0,11,24,1,0,2020,"Burnley","F",30,0,2,816570
