player,games,starts,goals,assists,shots_on_goal,shots,yellow,red
"Vardy, Jamie",24,24,17,4,31,51,2,0
"Aguero, Sergio",20,15,16,2,24,59,1,0
"Ings, Danny",26,21,15,1,30,55,2,0
"Aubameyang, Pierre-Emerick",24,24,15,1,29,59,3,1
"Salah, Mohamed",23,23,14,6,39,88,1,0
"Rashford, Marcus",22,22,14,4,30,68,2,0
"Abraham, Tammy",24,23,13,3,31,67,2,0
"Mane, Sadio",23,21,12,6,27,52,2,0
"Pukki, Teemu",25,25,11,3,32,59,3,0
"Sterling, Raheem",23,22,11,1,20,60,5,0
"Calvert-Lewin, Dominic",24,19,11,1,23,48,6,0
"Kane, Harry",20,20,11,2,26,55,2,0
"Jimenez, Raul",26,25,11,6,34,73,2,0
"Wood, Chris",24,24,10,1,15,35,1,0
"Jesus, Gabriel",22,13,9,4,28,60,1,0
Richarlison,24,24,9,3,24,57,4,0
"Martial, Anthony",20,19,9,3,22,42,1,0
"Heung-min, Son",21,20,9,7,29,61,0,2
"Firmino, Roberto",26,24,8,7,32,72,0,0
"De Bruyne, Kevin",25,24,8,17,20,73,2,0
"Mahrez, Riyad",21,14,7,7,22,46,0,0
"Wilson, Callum",25,23,7,0,14,29,7,0
"Wilson, Harry",22,18,7,0,12,30,1,0
"Maupay, Neal",25,20,7,2,23,64,3,0
"Grealish, Jack",24,24,7,6,22,54,6,0
"Perez, Ayoze",23,20,7,5,14,32,0,0
"Alli, Dele",19,18,7,2,16,32,2,0
"Cantwell, Todd",26,22,6,2,15,33,4,0
"Haller, Sebastian",24,22,6,1,18,32,1,0
"Barnes, Ashley",19,17,6,0,13,32,4,0
"Ayew, Jordan",25,25,6,1,15,35,4,0
"Maddison, James",25,24,6,3,17,52,4,0
"Lacazette, Alexandre",19,15,6,4,15,34,5,0
"Snodgrass, Robert",21,16,5,3,9,22,4,0
"Fleck, John",23,23,5,2,10,25,7,0
"Deeney, Troy",15,14,5,1,13,25,3,0
Wesley,21,21,5,1,15,29,3,0
"Shelvey, Jonjo",15,14,5,0,11,20,1,0
"Mount, Mason",26,22,5,4,21,59,3,0
"Pulisic, Christian",16,12,5,2,15,33,0,0
"Silva, Bernardo",22,15,5,5,14,33,5,0
"Mousset, Lys",23,10,5,4,7,24,1,0
"van Dijk, Virgil",26,26,4,0,8,11,1,0
"Lundstram, John",25,22,4,2,7,30,4,0
"Ward Prowse, James",26,26,4,2,16,33,7,0
"Doucoure, Abdoulaye",25,25,4,0,9,31,7,0
"Deulofeu, Gerard",26,23,4,5,20,51,3,0
"McBurnie, Oliver",24,13,4,0,13,24,3,0
"Rodriguez, Jay",25,9,4,0,11,24,1,0
Lucas Moura,24,16,4,2,9,37,2,0
"El Ghazi, Anwar",23,20,4,4,15,37,3,0
"Barnes, Harvey",24,18,4,6,18,41,0,0
"Pepe, Nicolas",22,15,4,4,14,38,3,0
Jorginho,24,21,4,1,4,9,9,0
"Greenwood, Mason",20,2,4,0,9,16,0,0
Willian,25,20,4,3,14,46,3,0
