team,player,position,age,contract_value,contract_length,transfer_fee
AFC Bournemouth,Jermain Defoe,F,37,16140000,3 yr,-
AFC Bournemouth,Asmir Begovic,GK,32,14560000,4 yr,9780000
AFC Bournemouth,Jefferson Lerma,M,25,13000000,5 yr,25125000
AFC Bournemouth,Callum Wilson,F,27,12480000,4 yr,3000000
AFC Bournemouth,Joshua King,F,28,11700000,5 yr,-
AFC Bournemouth,Nathan Ake,D,25,10400000,5 yr,19380000
AFC Bournemouth,Steve Cook,D,28,9360000,4 yr,150000
AFC Bournemouth,Andrew Surman,M,33,9100000,5 yr,536000
AFC Bournemouth,Harry Arter,M,30,8320000,4 yr,-
AFC Bournemouth,Jordon Ibe,F,24,7904000,4 yr,15000000
AFC Bournemouth,Lewis Cook,M,23,7280000,4 yr,5950000
AFC Bournemouth,Dan Gosling,M,30,7280000,4 yr,-
AFC Bournemouth,Adam Smith,D,28,7280000,4 yr,-
AFC Bournemouth,Ryan Fraser,F,25,5616000,4 yr,400000
AFC Bournemouth,Charlie Daniels,D,33,5460000,3 yr,191000
AFC Bournemouth,Junior Stanislas,F,30,5460000,3 yr,-
AFC Bournemouth,Brad Smith,D,25,5200000,4 yr,3060000
AFC Bournemouth,David Brooks,M,22,4160000,4 yr,10125000
AFC Bournemouth,Diego Rico,D,26,4004000,4 yr,10750000
AFC Bournemouth,Dominic Solanke,F,22,3900000,3 yr,24170000
AFC Bournemouth,Philip Billing,M,23,3900000,5 yr,18810000
AFC Bournemouth,Simon Francis,D,35,3120000,2 yr,-
AFC Bournemouth,Chris Mepham,D,22,3035000,5 yr,15500000
AFC Bournemouth,Artur Boruc,GK,40,2080000,1 yr,10000000
AFC Bournemouth,Aaron Ramsdale,GK,21,780000,5 yr,799000
AFC Bournemouth,Jack Simpson,D,23,468000,3 yr,-
AFC Bournemouth,Sam Surridge,F,22,0,5 yr,-
AFC Bournemouth,Lloyd Kelly,D,21,0,3 yr,16870000
AFC Bournemouth,Jack Stacey,D,23,0,-,5070000
AFC Bournemouth,Mark Travers,GK,20,0,-,-
AFC Bournemouth,Arnaut Danjuma,F,23,0,5 yr,20520000
Arsenal F.C.,Mesut Ozil,M,31,55900000,4 yr,42500000
Arsenal F.C.,Alexandre Lacazette,F,28,47333365,5 yr,45050000
Arsenal F.C.,Nicolas Pepe,F,24,36400000,5 yr,91200000
Arsenal F.C.,Pierre-Emerick Aubameyang,F,30,32760000,4 yr,57380000
Arsenal F.C.,Henrikh Mkhitaryan,M,31,31200000,4 yr,35700000
Arsenal F.C.,Hector Bellerin,D,24,28600000,5 yr,-
Arsenal F.C.,Granit Xhaka,M,27,26000000,5 yr,36000000
Arsenal F.C.,Bernd Leno,GK,27,26000000,5 yr,19200000
Arsenal F.C.,Shkodran Mustafi,D,27,23400000,5 yr,35800000
Arsenal F.C.,Sead Kolasinac,D,26,20800000,4 yr,-
Arsenal F.C.,Lucas Torreira,M,24,19500000,5 yr,26000000
Arsenal F.C.,Sokratis Papastathopoulos,D,31,14352000,3 yr,17700000
Arsenal F.C.,David Luiz,D,32,13070000,2 yr,9920000
Arsenal F.C.,Mohamed Elneny,M,27,10400000,4 yr,10630000
Arsenal F.C.,Calum Chambers,D,25,10400000,4 yr,17700000
Arsenal F.C.,Matteo Guendouzi,M,20,10400000,5 yr,7000000
Arsenal F.C.,Ainsley Maitland-Niles,M,,9100000,5 yr,-
Arsenal F.C.,Konstantinos Mavropanos,D,22,7150000,6 yr,1890000
Arsenal F.C.,Emiliano Martinez,GK,27,6760000,6 yr,-
Arsenal F.C.,Rob Holding,D,24,6500000,5 yr,2600000
Arsenal F.C.,Dani Ceballos,M,23,2700000,1 yr,-
Arsenal F.C.,Gabriel Martinelli,F,18,0,5 yr,7640000
Arsenal F.C.,William Saliba,D,18,0,5 yr,34200000
Arsenal F.C.,Kieran Tierney,D,22,0,5 yr,30780000
Arsenal F.C.,Dejan Iliev,GK,24,0,4 yr,-
Aston Villa F.C.,Henri Lansbury,M,29,8320000,4 yr,3880000
Aston Villa F.C.,John McGinn,M,25,6500000,5 yr,-
Aston Villa F.C.,Anwar El Ghazi,F,24,6440000,4 yr,10260000
Aston Villa F.C.,James Chester,D,31,6240000,4 yr,10600000
Aston Villa F.C.,Scott Hogan,F,27,4550000,5 yr,11970000
Aston Villa F.C.,Tyrone Mings,D,26,3900000,3 yr,25420000
Aston Villa F.C.,Lovre Kalinic,GK,29,3268000,4 yr,6840000
Aston Villa F.C.,Orjan Nyland,GK,29,3120000,3 yr,3420000
Aston Villa F.C.,Ahmed Elmohamady,M,32,2600000,2 yr,935000
Aston Villa F.C.,Jota Peleteiro,M,28,2600000,2 yr,5130000
Aston Villa F.C.,Jose Ignacio Peleteiro Ramallo,F,28,2600000,2 yr,-
Aston Villa F.C.,Tom Heaton,GK,33,2184000,1 yr,10030000
Aston Villa F.C.,Matt Targett,D,24,1820000,1 yr,17670000
Aston Villa F.C.,Jack Grealish,M,24,1820000,5 yr,-
Aston Villa F.C.,Jed Steer,GK,27,1664000,4 yr,475000
Aston Villa F.C.,Neil Taylor,D,31,1664000,4 yr,-
Aston Villa F.C.,James Bree,D,22,1560000,3 yr,3990000
Aston Villa F.C.,Keinan Davis,F,22,780000,3 yr,-
Aston Villa F.C.,Andre Green,F,21,624000,2 yr,-
Aston Villa F.C.,Kortney Hause,D,24,416000,1 yr,3880000
Aston Villa F.C.,Ezri Konsa,D,22,416000,1 yr,15160000
Aston Villa F.C.,Douglas Luiz,M,21,0,4 yr,19150000
