player,games,starts,goals,assists,shots_on_goal,shots,yellow,red
"Aubameyang, Pierre-Emerick",36,30,22,4,39,94,0,0
"Mane, Sadio",36,35,22,1,43,87,2,0
"Salah, Mohamed",38,37,22,7,66,139,1,0
"Aguero, Sergio",33,31,21,8,43,121,4,0
"Vardy, Jamie",34,30,18,4,39,77,3,1
"Sterling, Raheem",34,31,17,9,39,78,3,0
"Kane, Harry",28,27,17,4,50,103,5,0
"Hazard, Eden",37,32,16,15,43,93,2,0
"Wilson, Callum",30,29,14,9,29,69,3,0
"Murray, Glenn",38,30,13,1,23,54,5,0
"Lacazette, Alexandre",35,27,13,8,32,83,2,0
"Sigurdsson, Gylfi",38,36,13,6,32,84,3,0
"Pogba, Paul",35,34,13,9,47,101,6,0
Richarlison,35,32,13,1,28,79,5,1
"Jimenez, Raul",38,36,13,7,38,113,4,0
"Barnes, Ashley",37,26,12,2,30,64,8,0
"King, Joshua",35,34,12,3,24,69,3,0
"Firmino, Roberto",34,31,12,7,36,74,0,0
"Lukaku, Romelu",32,22,12,0,32,57,4,0
"Perez, Ayoze",37,34,12,2,26,54,2,0
"Heung-min, Son",31,23,12,6,29,73,2,1
"Milivojevic, Luka",38,38,12,2,23,55,10,0
"Mitrovic, Aleksandar",37,37,11,3,49,131,7,0
"Rondon, Salomon",32,30,11,7,31,89,1,0
"Wood, Chris",38,29,10,2,26,61,2,0
"Sane, Leroy",31,21,10,10,24,56,1,0
"Martial, Anthony",27,18,10,2,22,39,2,0
"Rashford, Marcus",33,26,10,5,39,84,3,1
Lucas Moura,32,25,10,0,19,45,3,0
"Arnautovic, Marko",28,24,10,4,31,61,3,0
"Zaha, Wilfried",34,34,10,5,28,74,8,0
"Deulofeu, Gerard",30,26,10,4,22,60,3,0
"Jota, Diogo",33,29,9,5,25,58,11,0
"Deeney, Troy",32,28,9,5,29,64,4,1
Felipe Anderson,36,36,9,4,24,59,3,0
Pedro,31,21,8,2,26,56,2,0
"Eriksen, Christian",35,30,8,12,33,86,3,0
"Fraser, Ryan",38,35,7,14,27,50,2,0
"Mahrez, Riyad",27,14,7,4,26,53,0,0
"Ings, Danny",24,23,7,2,21,54,1,0
"Jesus, Gabriel",29,8,7,3,24,43,1,0
"Silva, Bernardo",36,31,7,7,23,61,3,0
"Ward Prowse, James",26,21,7,0,15,31,4,0
"Hernandez, Javier",25,14,7,2,16,35,2,0
"Gray, Andre",29,13,7,2,17,35,2,0
"Maddison, James",36,35,7,7,28,84,3,0
"Brooks, David",30,29,7,5,23,42,3,0
"Mkhitaryan, Henrikh",25,19,6,4,15,50,1,0
"Calvert-Lewin, Dominic",35,19,6,2,18,49,3,0
"Gundogan, Ilkay",31,23,6,3,11,43,3,0
"Silva, David",33,28,6,8,19,52,2,0
"Redmond, Nathan",38,36,6,4,21,75,3,0
"Antonio, Michail",33,22,6,3,23,63,3,0
"Loftus-Cheek, Ruben",24,6,6,1,8,27,0,0
"Townsend, Andros",38,34,6,4,19,62,1,0
"Pereyra, Roberto",33,33,6,2,22,57,3,0
"Shaqiri, Xherdan",24,11,6,3,10,25,2,0
"Schurrle, Andre",24,21,6,0,19,53,2,0
"Duffy, Shane",35,35,5,1,16,37,4,1
"Ozil, Mesut",24,20,5,2,7,11,2,0
"Morata, Alvaro",16,11,5,0,16,35,3,0
"Walcott, Theo",37,24,5,2,21,43,1,0
"Milner, James",31,19,5,4,7,24,5,0
"Long, Shane",26,12,5,1,9,31,3,0
"Alli, Dele",25,22,5,2,19,40,4,0
"Noble, Mark",31,29,5,5,8,17,6,1
"Doucoure, Abdoulaye",35,34,5,4,17,49,7,0
"Batshuayi, Michy",11,9,5,0,10,24,0,0
"Reid, Bobby",27,16,5,2,9,28,0,0
"Camarasa, Victor",32,31,5,3,12,42,6,0
"Babel, Ryan",16,15,5,3,9,24,3,0
"Higuain, Gonzalo",14,13,5,0,15,47,0,0
"Bamba, Sol",28,28,4,1,7,22,7,0
"Paterson, Callum",27,21,4,1,8,39,4,0
"Ake, Nathan",38,38,4,0,7,22,3,0
"Ramsey, Aaron",28,14,4,6,14,35,0,0
"Xhaka, Granit",29,29,4,2,13,30,10,0
"Kante, N'Golo",36,36,4,4,6,30,3,0
"Gray, Demarai",34,23,4,1,18,47,2,0
"van Dijk, Virgil",38,38,4,2,8,30,1,0
"Lingard, Jesse",27,19,4,2,15,32,3,0
"Hojbjerg, Pierre",31,31,4,3,19,51,7,1
"Lamela, Erik",19,9,4,2,12,30,2,0
"Boly, Willy",36,36,4,0,6,22,2,1
"Neves, Ruben",35,34,4,3,17,73,8,0
"Schlupp, Jeffrey",30,18,4,1,10,29,1,0
"Mendez-Laing, Nathanie",20,11,4,1,10,19,0,0
"Schar, Fabian",24,22,4,1,8,26,12,0
"Doherty, Matt",38,35,4,5,18,44,5,0
